Flow Key,Flow Name,Amount,Unit,Categories,Type,Category,Mass_Equivalent_kg,Energy_Equivalent_MJ,Water_Mass_Equivalent_kg,kg_Factor,MJ_Factor,kg_water_factor,Mass_Water_Equivalent_kg
"('ecoinvent-3.12-biosphere', 'b311427f-0de3-4190-84a5-05c8460c62d1')",Bromine,-1.2686290328056596e-07,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),1.2686290328056596e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', '739ad964-45ab-4623-bad7-05f718433e40')",Non-hazardous waste disposed,0.37500555974398714,kilogram,"('inventory indicator', 'waste')",inventory indicator,,0.37500555974398714,,,1.0,,,
"('ecoinvent-3.12-biosphere', '27da8ae0-0a7b-5867-a2c5-064177e114fd')",Ioxynil,-1.731488066366826e-17,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.731488066366826e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b3701449-fe4b-4513-b4a4-065e62f03e5c')",Titanium ion,-4.711289492053164e-08,kilogram,"('air', 'low population density, long-term')",emission,Waste Emissions (W),4.711289492053164e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'da3b34bf-c5dc-5281-935e-0670f1b5fd28')",Fluoxastrobin,8.749608187541717e-18,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),8.749608187541717e-18,,,1.0,,,
"('ecoinvent-3.12-biosphere', '6b9bd023-b581-4dfe-8eca-069a4d646dfb')",Desmedipham,5.288385664793523e-12,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),5.288385664793523e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'fa910395-59ec-5235-a4ab-06a67c8303f5')",Etofenprox,1.4650363442866925e-15,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.4650363442866925e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '432a3326-73f8-4752-bc4d-06b7b4b1243c')",Dichloromethane,1.6021835096014256e-10,kilogram,"('air',)",emission,Waste Emissions (W),1.6021835096014256e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a703733d-fabc-487b-826a-06c11ac4c0c6')","Nitrogen, organic bound",5.20887978091764e-09,kilogram,"('water',)",emission,Waste Emissions (W),5.20887978091764e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9f1f46bb-5629-4fd5-bed0-06f58800017a')",Carfentrazone-ethyl,1.3715690544645121e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.3715690544645121e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '1318785a-e5b1-4f42-a5b7-072333e37f91')","N,N-Dimethylformamide",1.1289568516895357e-12,kilogram,"('water',)",emission,Waste Emissions (W),1.1289568516895357e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c2c2b2c4-0a30-4c79-8d1f-0735a95a8962')",Metsulfuron-methyl,-1.7267271427326875e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),1.7267271427326875e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'b9456396-7621-56b2-b192-0751108fe2d8')",Tritosulfuron,2.2087855141974698e-16,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),2.2087855141974698e-16,,,1.0,,,
