Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.12-cutoff', '75811962ae941998c147f4d4078275f9')","electricity, medium voltage, residual mix",FR,"electricity, medium voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",FR,WEOG,631.1536260022257,0.0,0.0,0.12520841573972089,629.7003702834277,0.9976974611902287,0.0001983802525746392,0.9988487305951145,9.91901262873196e-05,13.863932149583878,0.0,3.6,0.0,0.03986165523534806,0.0028752055914053574,0.2596665910621939,0.5014376027957027,0.12983329553109696
"('ecoinvent-3.12-cutoff', '1a73d93988f8d765aeeaddb384a66fd5')","sawing, hardwood",RoW,"sawnwood, hardwood, raw",cubic meter,1610,16,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",RoW,Rest of World,147291.4307554266,0.0,0.0,102.21940763573065,143503.92473514986,0.9742856322268618,0.000693994260979535,0.9871428161134309,0.0003469971304897675,611.6086643230543,0.0,0.0,0.0,10.139449207899077,0.01657832826668946,0.0,0.5082891641333447,0.0
"('ecoinvent-3.12-cutoff', '815c9687fc15a8d22bb4c39da5e03fcf')","butadiene purification, extractive distillation of C4 hydrocarbon mixture",ZA,"butene, mixed",kilogram,2011,20,C,Manufacture of chemicals and chemical products,ZA,Africa,6147.965471631547,0.0,1.0,3.255362256937025,6062.424081836984,0.986086228006765,0.0006921578002629439,0.9930431140033826,0.00034607890013147195,83.00190172762917,0.0,0.0,0.0,4.102653433053936,0.04942842691143147,0.0,0.5247142134557157,0.0
"('ecoinvent-3.12-cutoff', '2dbafff6fc68b5128f1bde8e8a8575fd')","methyldiethanolamine production, from ethoxylation of methylamine",RER,methyldiethanolamine,kilogram,2011,20,C,Manufacture of chemicals and chemical products,RER,Eastern Europe,12941.416330207147,0.0,1.0,17.40582877249313,12879.415104807862,0.9952090850168722,0.0014222422262647754,0.9976045425084361,0.0007111211131323877,86.3894465500685,0.0,0.0,0.0,2.2243155568394544,0.025747537988338818,0.0,0.5128737689941695,0.0
"('ecoinvent-3.12-cutoff', '3c2b6b81e22cf51773747757d1a1302a')",market for waste asphalt,RoW,waste asphalt,kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",RoW,Rest of World,22.798519289220195,1.0,0.0,3.9907631493343043,22.587628392615947,0.9491190656910855,0.16768955668355237,0.953549822370552,0.10485448881676698,0.43989962269158633,0.0,0.0,0.0,2.1992498424715294,4.999435619005801,0.0,2.9997178095029007,0.0
"('ecoinvent-3.12-cutoff', '7139db90febd93b68e7abb8e6213355a')","treatment of bottom ash, MSWI, municipal solid waste, slag compartment",NO,"bottom ash, MSWI, municipal solid waste",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",NO,WEOG,9.655724871155325,1.0,0.0,0.016799721098953436,9.714705235661302,0.9116888201532558,0.0015765911096700417,0.9089212766393634,0.047711428992099576,0.20405887474921797,0.0,0.0,0.0,0.002868824520496523,0.014058807900524882,0.0,0.5070294039502624,0.0
"('ecoinvent-3.12-cutoff', 'db3183ae748c2bcda2c2c99387c03d1c')",aluminium melting furnace production,RER,aluminium melting furnace,unit,2815,28,C,Manufacture of machinery and equipment n.e.c.,RER,Eastern Europe,3175407472.1512446,0.0,0.0,3840331.993621789,3168154692.857727,0.9977159531943143,0.0012093981724556684,0.9988579765971572,0.0006046990862278342,8690928.959002806,0.0,0.0,0.0,973593.0184748473,0.11202404519327207,0.0,0.5560120225966361,0.0
"('ecoinvent-3.12-cutoff', '8f9f25fa3d2e67f021a93027b00f0863')","limestone production, crushed, for mill",RoW,"limestone, crushed, for mill",kilogram,0810,08,B,Other mining and quarrying,RoW,Rest of World,16.927161491315154,0.0,1.0,0.0059288221215495675,15.864026026258292,0.9371935179089343,0.059426905251519176,0.9685967589544672,0.029713452625759588,0.0556681559048947,0.0,0.0,0.0,0.0007486194695573831,0.013447894175556113,0.0,0.5067239470877781,0.0
"('ecoinvent-3.12-cutoff', 'd7a2f228212881a38a9d09c8d74baa55')",market for copper oxide,GLO,copper oxide,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,80987.32747314275,0.0,1.0,42.626874135086744,80654.26093837662,0.9958874240556144,0.000538687662579734,0.9979437120278071,0.000269343831289867,79.28610957802906,0.0,0.0,0.0,2.4413204485819975,0.030791275566111404,0.0,0.5153956377830556,0.0
"('ecoinvent-3.12-cutoff', 'cfcd96e8e7d6a56ae7fe1b47569bb6fe')","beam, hardwood, raw, kiln drying to u=20%",CA-QC,"sawnwood, beam, hardwood, raw, dried (u=20%)",cubic meter,1610,16,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",CA-QC,WEOG,376628.7349825117,0.0,0.0,158.28568144618706,373102.05604879727,0.9906361926052237,0.00042026979554158776,0.9953180963026118,0.00021013489777079388,468.8640192751932,0.0,0.0,0.0,9.5263847389725,0.02031801193382067,0.0,0.5101590059669103,0.0
"('ecoinvent-3.12-cutoff', '94eeb1bdaf3145dbd7cdc12543b40613')","treatment of hard coal ash, sanitary landfill",GLO,"heat, district or industrial, other than natural gas",megajoule,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",GLO,Global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '740811179fb709c54a2c7ff31488893d')","wheat grain, feed production",RoW,"wheat grain, feed",kilogram,1080,10,C,Manufacture of food products,RoW,Rest of World,1217.0972632331268,0.0,1.0,106.32392351862359,1107.8139823353345,0.9102099033502963,0.08818023568102167,0.9551049516751482,0.04409011784051083,5.7039012996150165,0.0,0.0,0.0,0.20925370108621372,0.03668606627192817,0.0,0.5183430331359641,0.0
"('ecoinvent-3.12-cutoff', '9e12b7374620c5f51d72abe81d13ba57')","sodium chlorate production, powder",RER,"sodium chlorate, powder",kilogram,2011,20,C,Manufacture of chemicals and chemical products,RER,Eastern Europe,31054.540300101744,0.0,1.0,7.092403749804357,31030.907119342955,0.9992389782450358,0.0002605868150551192,0.9996194891225179,0.0001302934075275596,46.50772902241842,0.0,0.0,0.0,2.5337077321318735,0.05447928302219475,0.0,0.5272396415110974,0.0
"('ecoinvent-3.12-cutoff', '99a29f75e1c871e9baa782d90211df5e')","heat and power co-generation unit construction, organic Rankine cycle, 1400kW thermal, building",CH,"heat and power co-generation unit, organic Rankine cycle, 1400kW thermal, building",unit,4220,42,F,Civil engineering,CH,WEOG,827518357.4298309,0.0,0.0,961116.0293183529,824832588.1557502,0.996754429373117,0.0011614437561282141,0.9983772146865585,0.0005807218780641071,1827179.6367171737,0.0,0.0,0.0,178632.98143839533,0.09776432368704514,0.0,0.5488821618435226,0.0
"('ecoinvent-3.12-cutoff', '645b00768ffc1d83c5842bba2362132c')",hydrazine production,RoW,hydrazine,kilogram,2011,20,C,Manufacture of chemicals and chemical products,RoW,Rest of World,68491.45035109902,0.0,1.0,230.04015030103864,68202.84031317387,0.995786188838962,0.003373269935396124,0.997893094419481,0.001686634967698062,196.9236533934664,0.0,0.0,0.0,2.8217685993804142,0.014329251721439147,0.0,0.5071646258607196,0.0
"('ecoinvent-3.12-cutoff', 'b6d2088ed96c7110348ba7dc1a199823')",natural gas liquids production,RoW,natural gas liquids,kilogram,3520,35,D,"Electricity, gas, steam and air conditioning supply",RoW,Rest of World,3940.416313234873,0.0,1.0,0.9789463818767778,3860.702332861299,0.97977016283639,0.0005022175893521686,0.9898850814181951,0.0002511087946760843,61.16252082486462,0.0,0.0,0.0,2.586946249906746,0.042296265997837444,0.0,0.5211481329989187,0.0
"('ecoinvent-3.12-cutoff', '4c6ec002a7119d122c1847de9fcb7e28')","tillage, hoeing and earthing-up, potatoes",RoW,"tillage, hoeing and earthing-up, potatoes",hectare,0161,01,A,"Crop and animal production, hunting and related service activities",RoW,Rest of World,49714.562091798725,0.0,0.0,28.111298828839878,49654.41615530974,0.9987901746699905,0.0005654540168116521,0.9993950873349953,0.00028272700840582604,339.25549357800827,0.0,0.0,0.0,13.824147912702237,0.040748486537104577,0.0,0.5203742432685523,0.0
"('ecoinvent-3.12-cutoff', '9330a61717ec67cf730349e2762767e2')",expanded clay production,RoW,expanded clay,kilogram,2399,23,C,Manufacture of other non-metallic mineral products,RoW,Rest of World,377.05210459988893,0.0,1.0,0.2888838540810078,375.652307924682,0.9962875245672151,0.003418317623365913,0.9981437622836075,0.0017091588116829564,3.55139003713245,0.0,0.0,0.0,0.019846812258377852,0.005588463123133343,0.0,0.5027942315615667,0.0
"('ecoinvent-3.12-cutoff', 'c4de4decd125507e0cd94a80efc4d08f')","treatment of sewage sludge, 70% water, WWT-SLF, waste newspaper, municipal incineration FAE",CH,"heat, for reuse in municipal waste incineration only",megajoule,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",CH,WEOG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
