Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.11-cutoff', 'e69d1d5201dc443b98cbf1d3c289fa5b')","electricity production, nuclear, pressure water reactor",FR,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",FR,WEOG,152.64740728986985,0.000349693399349219,0.0003668372596607383,0.10050827716013311,152.5160013165744,0.9991368647053933,0.0006608358774040169,0.9995672869267622,0.0003315633646363952,13.941248028417625,0.0003988018387652119,3.601817385401083,0.0,0.0018928119902997447,0.00013576674358096153,0.2583494926570913,0.5000535808348083,0.12918904886552784
"('ecoinvent-3.11-cutoff', '6aeec5b756366a02f840eecb3f9bbd8e')","electronics scrap, Recycled Content cut-off",GLO,electronics scrap,kilogram,Unknown,Unknown,Unknown,Unknown,GLO,Global,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.11-cutoff', '9931c78bd7e7fd213b611e51fd0730b9')","treatment of sewage sludge, 97% water, WWT-SLF, municipal solid waste, landfarming",GB,"sewage sludge, 97% water, WWT-SLF, municipal solid waste",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",GB,WEOG,2.2249531907761426,1.000034663763281,8.874596182123524e-05,0.5145549739460648,2.796564319863107,0.8671549928247708,0.1595800490173892,0.7785327785918742,0.23483474232920573,0.018561585965008003,1.4103061151047171e-05,0.00022582881455535954,0.0,0.028281144581058435,1.5224815909241247,0.01215722411358944,1.2608611847479945,0.006458222770862625
"('ecoinvent-3.11-cutoff', 'df8da0471cc52a2f0cf3f7b3d411ebfe')","hard coal, import from ID",JP,hard coal,kilogram,0510,05,B,Mining of coal and lignite,JP,Asia-Pacific,116.53261503574772,0.001410204086174473,1.0026470864542685,0.6116757608026695,114.87677527548496,0.9857788318824634,0.01385280259507527,0.992883365330334,0.006932451908435492,23.21202690236462,0.0016730082115353527,0.00909805660553997,0.0,0.011335250345404762,0.0004883000292530026,0.0003919261746549458,0.5002081150822809,0.00023199801967303002
"('ecoinvent-3.11-cutoff', '04b143f532bbcb41ff1cc1bcd3e89380')","electricity, high voltage, import from RU",LV,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",LV,Eastern Europe,8076.90966528152,0.0015121465503996213,0.00399998953244461,0.16676505902412575,8076.937259585589,1.00000322922426,2.1142370493536497e-05,1.0000015210029198,1.066479445684756e-05,12.620487075450587,0.0010826960931615713,3.6102941603133845,0.0,0.040083116520031374,0.0031757631772873205,0.2860416117536391,0.5015449908819899,0.1430636965834733
"('ecoinvent-3.11-cutoff', 'd1ba02fc8e2c9434253a5c988257d633')","sulfur production, petroleum refinery operation",CO,sulfur,kilogram,1920,19,C,Manufacture of coke and refined petroleum products,CO,GRULAC,20.944892615601745,0.00020384251625184504,1.000520430518398,0.8583706439966532,20.21398056917655,0.9650936967321494,0.08875065713982776,0.9825419822505936,0.04438019468539488,2.6315523572231365,9.0668841091389e-05,0.0012900502563665105,0.0,0.4019309843100501,0.1527300550755779,0.0004902071609217661,0.5763478008774491,0.0002623302408007144
"('ecoinvent-3.11-cutoff', '16cb1df3b7a229f54ce08d791f65edac')","treatment of sewage sludge, 75% water, WWT, WW from recycling of waste PP, sanitary landfill",RER,"electricity, medium voltage",kilowatt hour,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",RER,Eastern Europe,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.6,3.6,0.0,0.0,0.0,1.0,0.0,1.0
"('ecoinvent-3.11-cutoff', 'f4c6598ed81cd14d8da4bc805eb42fcf')","containerboard production, fluting medium, semichemical",RER,turpentine,kilogram,1702,17,C,Manufacture of paper and paper products,RER,Eastern Europe,6021.899705930493,0.6025352207798604,1.09168381955716,2.11932545768221,6006.566110049281,0.9973539020055315,0.0005331686313537257,0.9986269273417812,0.000316607976661394,20.71148633848678,7.49552549652893,0.7927805573270322,0.0,0.9522876886370608,0.03376067249544338,0.028105797308982862,0.38401398478215965,0.14691925012005344
"('ecoinvent-3.11-cutoff', '5353cbd44e0489a9b15a12e206dd3a20')","land already in use, perennial cropland to annual crop",NL,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",NL,WEOG,105.03166245922615,0.001948552972744531,1.0039378833990098,0.47414034576628783,125.51381961862253,1.1949871894249642,0.01407243086209451,1.0974843188580488,0.007045491285480738,3.55059663760474,0.0007558601462161022,0.010208026937036962,0.0,0.04716642657373832,0.013281257381126893,0.0028744054394773894,0.5065342100589724,0.0015436213513297268
"('ecoinvent-3.11-cutoff', '9e580072f69b141c3254ab82a0e56c07')","market for copper, cathode",GLO,"copper, cathode",kilogram,2420,24,C,Manufacture of basic metals,GLO,Global,96473.86334632168,0.48931398425954,1.4854652671939113,51.41769082286096,96068.54784724044,0.9957936508317979,0.0005483649760919484,0.9978942894362797,0.00027671846766525425,89.41196473068732,0.2789125581941297,2.7956114381236796,0.0,2.8362794258228967,0.03162283067750188,0.031169406773884217,0.5142565606722289,0.01713955805346406
